Poster session,Poster board,Paper number,Presentation type,Primary topic,Title
Afternoon,209,288,spotlight,"Concept Discovery (e.g., SAEs, dictionary learning)",The Dark Subspace of Fine-Tuning Memorisation
Afternoon,210,438,spotlight,"Concept Discovery (e.g., SAEs, dictionary learning)",How Optimality Structures Sparse Dictionaries: A Theory for Understanding SAE Representations
Afternoon,210,650,spotlight,"Concept Discovery (e.g., SAEs, dictionary learning)",Size Doesn't Matter: Cosine-Scored Sparse Autoencoders
Afternoon,211,307,poster,Feature Geometry,How feature learning breaks the curse of dimensionality in isotropic data:\\ A mean field approach
Afternoon,211,389,poster,Feature Geometry,Relational Linear Properties in Language Models: An Empirical Investigation
Afternoon,212,776,poster,Feature Geometry,Scale Determines Whether Language Models Organize Representation Geometry for Prediction
Afternoon,212,808,poster,Feature Geometry,"Unstable Features, Reproducible Subspaces: Understanding Seed Dependence in Sparse Autoencoders"
Afternoon,213,425,poster,Interpretability for AI Safety,Language Triggers Hijack Language Circuits: A Mechanistic Analysis of Backdoor Behaviors in Large Language Models
Afternoon,213,788,poster,Interpretability for AI Safety,GRAFT: Geometric Representations of Alignment’s Fingerprint in Transformer Belief Trajectories
Afternoon,214,120,fast track,Interpretability for Knowledge Discovery,Induction Meets Biology: Mechanisms of Repeat Detection in Protein Language Models
Afternoon,214,272,poster,Interpretability for Knowledge Discovery,Mechanistic Evidence for Spectral Structures in Prior-Data Fitted Networks
Afternoon,215,277,poster,Interpretability for Knowledge Discovery,"Emergent Symbolic Structure in Health Foundation Models: Extraction, Alignment, and Cross-Modal Transfer"
Afternoon,215,801,poster,Interpretability for Knowledge Discovery,Metric Choice Determines Semantic Geometry in LLM Hidden States: A measurement Study of Hidden-State Geometry
Afternoon,216,156,fast track,"Methods (probing, steering, causal interventions)",Bridging the Knowledge-Prediction Gap in LLMs on Multiple-Choice Questions
Afternoon,216,157,fast track,"Methods (probing, steering, causal interventions)",Steering at the Source: Style Modulation Heads for Robust Persona Control
Afternoon,217,172,fast track,"Methods (probing, steering, causal interventions)",The Expert Strikes Back: Interpreting Mixture-of-Experts Language Models at Expert Level
Afternoon,217,812,fast track,"Methods (probing, steering, causal interventions)",RouterInterp: Understanding Superposed Specialisation in Mixture of Experts Routing
Afternoon,300,191,poster,"Methods (probing, steering, causal interventions)",Backtracking is Decorative: A Mechanistic Account
Afternoon,300,192,poster,"Methods (probing, steering, causal interventions)",Ghost Tracks: Hypothesis Competition in Sparse Feature Space as a Preliminary Signal of LLM Hallucinations
Afternoon,301,245,poster,"Methods (probing, steering, causal interventions)",Verifiable Explanations Cannot Be Much Smaller Than the Behavior They Explain
Afternoon,301,312,poster,"Methods (probing, steering, causal interventions)",Where’s the Plan? Locating Latent Planning in Language Models with Lightweight Mechanistic Interventions
Afternoon,302,316,poster,"Methods (probing, steering, causal interventions)",The Dead Salmons of AI Interpretability
Afternoon,302,344,poster,"Methods (probing, steering, causal interventions)",Predicting Future Behaviors in Reasoning Models Enables Better Steering
Afternoon,303,373,poster,"Methods (probing, steering, causal interventions)",Beyond a Single Direction: Chain-of-Thought Disrupts Simple Steering of Refusal
Afternoon,303,417,poster,"Methods (probing, steering, causal interventions)",Residue-Level Attributions in Protein Allergenicity Models Do Not Recover Allergen Epitopes
Afternoon,304,462,poster,"Methods (probing, steering, causal interventions)",Mixture-of-Steering Vectors (MoSV): Sparse Gating for Compositional Hallucination Mitigation
Afternoon,304,490,poster,"Methods (probing, steering, causal interventions)",Towards \textit{Effective Theory} of LLMs: A Representation Learning Approach
Afternoon,305,526,poster,"Methods (probing, steering, causal interventions)",Invariant Reasoning Directions in Latent Trajectories of Language Models
Afternoon,305,580,poster,"Methods (probing, steering, causal interventions)",Inducing post-hoc chain-of-thought reasoning in LLMs on multiple-choice question answering tasks
Afternoon,306,618,poster,"Methods (probing, steering, causal interventions)",Observing and Controlling Features in Vision-Language-Action Models
Afternoon,306,620,poster,"Methods (probing, steering, causal interventions)",Retrieval Heads Meet Vision: Uncovering How VLMs Locate and Extract Visual Information
Afternoon,307,624,poster,"Methods (probing, steering, causal interventions)",Reusable Uncertainty Representations Support Metacognitive Behavior in Llama-3.3-70B
Afternoon,307,666,poster,"Methods (probing, steering, causal interventions)",Decoded but Unused: Instruction Tuning Routes Moral Framing into the Judgment Readout
Afternoon,308,675,poster,"Methods (probing, steering, causal interventions)",InverseScope: Scalable Activation Inversion for Interpreting Large Language Models
Afternoon,308,676,poster,"Methods (probing, steering, causal interventions)",Reading Calibrated Uncertainty from Language Model Trajectories
Afternoon,309,730,poster,"Methods (probing, steering, causal interventions)",Non-linear Interventions on Large Language Models
Afternoon,309,732,poster,"Methods (probing, steering, causal interventions)",Before the Last Token: Diagnosing Final-Token Safety Probe Failures
Afternoon,310,139,spotlight,"Methods (probing, steering, causal interventions)",From Noise to Diversity: Random Embedding Injection in LLM Reasoning
Afternoon,310,271,spotlight,"Methods (probing, steering, causal interventions)",From Tokens to Policy: Minimal and Sufficient Heterogeneous Treatment Effects Identification
Afternoon,311,540,spotlight,"Methods (probing, steering, causal interventions)",Cross-Layer Transcoders are incentivized to learn Unfaithful Circuits
Afternoon,311,546,spotlight,"Methods (probing, steering, causal interventions)",Localizing RL-Induced Tool Use to a Single Crosscoder Feature
Afternoon,312,661,spotlight,"Methods (probing, steering, causal interventions)",Multiplication Beyond Groups: Stratified Fourier Mechanisms in Transformer Circuits
Afternoon,313,86,fast track,Other,"ExPLAIND: Unifying Model, Data, and Training Attribution to Study Model Behavior"
Afternoon,313,305,poster,Other,Reasoning as State Transition: A Representational Analysis of Reasoning Evolution in Large Language Models
Afternoon,314,372,poster,Other,Position: Interpretability Can Be Actionable
Afternoon,315,97,poster,Probing,Tracing Psychometric Inference in Large Language Models
Afternoon,315,100,poster,Probing,Representational Depth of Evaluation Awareness Shifts With Scale in Open-Weight Language Models
Afternoon,316,77,poster,Sparse Autoencoders,"Sparse Autoencoders Find Causal, Lineage-Specific Context Features in Chromatin Foundation Models"
Afternoon,316,528,poster,Other,When Is an Attention Head a Computational Unit? Shared Circuits Despite Orthogonal Representations
